# Counts	Error	Energy (keV)	 ErrorEnergy
21	4.5826	77.696	0.000076163444000
0	0.0000	77.842	0.000076163444000
0	0.0000	77.989	0.000076163444000
0	0.0000	78.137	0.000076163444000
0	0.0000	78.286	0.000076163444000
1	1.0000	78.436	0.000076163444000
6	2.4495	78.586	0.000076163444000
1	1.0000	78.738	0.000076163444000
2	1.4142	78.890	0.000076163444000
0	0.0000	79.044	0.000076163444000
4	2.0000	79.198	0.000076163444000
7	2.6458	79.353	0.000076163444000
2	1.4142	79.509	0.000076163444000
4	2.0000	79.666	0.000076163444000
0	0.0000	79.824	0.000076163444000
0	0.0000	79.983	0.000076163444000
0	0.0000	80.142	0.000076163444000
1	1.0000	80.303	0.000076163444000
1	1.0000	80.465	0.000076163444000
1	1.0000	80.627	0.000076163444000
2	1.4142	80.790	0.000076163444000
1	1.0000	80.955	0.000076163444000
0	0.0000	81.120	0.000076163444000
1	1.0000	81.286	0.000076163444000
0	0.0000	81.453	0.000076163444000
1	1.0000	81.621	0.000076163444000
1	1.0000	81.789	0.000076163444000
1	1.0000	81.959	0.000076163444000
1	1.0000	82.130	0.000076163444000
0	0.0000	82.301	0.000076163444000
0	0.0000	82.474	0.000076163444000
0	0.0000	82.647	0.000076163444000
2	1.4142	82.821	0.000076163444000
1	1.0000	82.996	0.000076163444000
0	0.0000	83.172	0.000076163444000
2	1.4142	83.349	0.000076163444000
0	0.0000	83.527	0.000076163444000
0	0.0000	83.706	0.000076163444000
0	0.0000	83.886	0.000076163444000
1	1.0000	84.066	0.000076163444000
2	1.4142	84.248	0.000076163444000
0	0.0000	84.430	0.000076163444000
1	1.0000	84.613	0.000076163444000
2	1.4142	84.798	0.000076163444000
0	0.0000	84.983	0.000076163444000
0	0.0000	85.169	0.000076163444000
0	0.0000	85.356	0.000076163444000
0	0.0000	85.544	0.000076163444000
0	0.0000	85.732	0.000076163444000
0	0.0000	85.922	0.000076163444000
0	0.0000	86.113	0.000076163444000
0	0.0000	86.304	0.000076163444000
1	1.0000	86.496	0.000076163444000
0	0.0000	86.690	0.000076163444000
0	0.0000	86.884	0.000076163444000
1	1.0000	87.079	0.000076163444000
3	1.7321	87.275	0.000076163444000
5	2.2361	87.472	0.000076163444000
5	2.2361	87.670	0.000076163444000
11	3.3166	87.869	0.000076163444000
10	3.1623	88.068	0.000076163444000
14	3.7417	88.269	0.000076163444000
17	4.1231	88.470	0.000076163444000
22	4.6904	88.673	0.000076163444000
27	5.1962	88.876	0.000076163444000
39	6.2450	89.080	0.000076163444000
54	7.3485	89.285	0.000076163444000
68	8.2462	89.491	0.000076163444000
88	9.3808	89.698	0.000076163444000
102	10.0995	89.906	0.000076163444000
127	11.2694	90.115	0.000076163444000
172	13.1149	90.324	0.000076163444000
173	13.1529	90.535	0.000076163444000
208	14.4222	90.746	0.000076163444000
250	15.8114	90.959	0.000076163444000
281	16.7631	91.172	0.000076163444000
309	17.5784	91.386	0.000076163444000
353	18.7883	91.601	0.000076163444000
373	19.3132	91.817	0.000076163444000
375	19.3649	92.034	0.000076163444000
412	20.2978	92.252	0.000076163444000
437	20.9045	92.471	0.000076163444000
465	21.5639	92.690	0.000076163444000
461	21.4709	92.911	0.000076163444000
437	20.9045	93.132	0.000076163444000
479	21.8861	93.355	0.000076163444000
493	22.2036	93.578	0.000076163444000
465	21.5639	93.802	0.000076163444000
477	21.8403	94.027	0.000076163444000
529	23.0000	94.253	0.000076163444000
494	22.2261	94.480	0.000076163444000
536	23.1517	94.708	0.000076163444000
476	21.8174	94.937	0.000076163444000
498	22.3159	95.166	0.000076163444000
529	23.0000	95.397	0.000076163444000
560	23.6643	95.628	0.000076163444000
516	22.7156	95.861	0.000076163444000
533	23.0868	96.094	0.000076163444000
536	23.1517	96.328	0.000076163444000
587	24.2281	96.563	0.000076163444000
517	22.7376	96.799	0.000076163444000
560	23.6643	97.036	0.000076163444000
541	23.2594	97.274	0.000076163444000
558	23.6220	97.512	0.000076163444000
529	23.0000	97.752	0.000076163444000
552	23.4947	97.992	0.000076163444000
585	24.1868	98.234	0.000076163444000
554	23.5372	98.476	0.000076163444000
569	23.8537	98.719	0.000076163444000
534	23.1084	98.964	0.000076163444000
594	24.3721	99.209	0.000076163444000
589	24.2693	99.455	0.000076163444000
615	24.7992	99.701	0.000076163444000
583	24.1454	99.949	0.000076163444000
622	24.9399	100.198	0.000076163444000
566	23.7908	100.448	0.000076163444000
568	23.8328	100.698	0.000076163444000
586	24.2074	100.949	0.000076163444000
600	24.4949	101.202	0.000076163444000
599	24.4745	101.455	0.000076163444000
570	23.8747	101.709	0.000076163444000
634	25.1794	101.964	0.000076163444000
594	24.3721	102.220	0.000076163444000
605	24.5967	102.477	0.000076163444000
632	25.1396	102.735	0.000076163444000
609	24.6779	102.993	0.000076163444000
632	25.1396	103.253	0.000076163444000
605	24.5967	103.513	0.000076163444000
595	24.3926	103.775	0.000076163444000
603	24.5561	104.037	0.000076163444000
577	24.0208	104.300	0.000076163444000
594	24.3721	104.565	0.000076163444000
587	24.2281	104.830	0.000076163444000
601	24.5153	105.095	0.000076163444000
614	24.7790	105.362	0.000076163444000
602	24.5357	105.630	0.000076163444000
572	23.9165	105.899	0.000076163444000
593	24.3516	106.168	0.000076163444000
626	25.0200	106.439	0.000076163444000
623	24.9600	106.710	0.000076163444000
615	24.7992	106.982	0.000076163444000
619	24.8797	107.256	0.000076163444000
622	24.9399	107.530	0.000076163444000
643	25.3574	107.805	0.000076163444000
591	24.3105	108.081	0.000076163444000
611	24.7184	108.358	0.000076163444000
650	25.4951	108.635	0.000076163444000
606	24.6171	108.914	0.000076163444000
616	24.8193	109.194	0.000076163444000
580	24.0832	109.474	0.000076163444000
654	25.5734	109.755	0.000076163444000
597	24.4336	110.038	0.000076163444000
591	24.3105	110.321	0.000076163444000
609	24.6779	110.605	0.000076163444000
570	23.8747	110.890	0.000076163444000
628	25.0599	111.176	0.000076163444000
619	24.8797	111.463	0.000076163444000
615	24.7992	111.750	0.000076163444000
588	24.2487	112.039	0.000076163444000
615	24.7992	112.329	0.000076163444000
609	24.6779	112.619	0.000076163444000
563	23.7276	112.910	0.000076163444000
576	24.0000	113.203	0.000076163444000
552	23.4947	113.496	0.000076163444000
584	24.1661	113.790	0.000076163444000
569	23.8537	114.085	0.000076163444000
580	24.0832	114.381	0.000076163444000
576	24.0000	114.678	0.000076163444000
586	24.2074	114.975	0.000076163444000
618	24.8596	115.274	0.000076163444000
649	25.4755	115.574	0.000076163444000
604	24.5764	115.874	0.000076163444000
600	24.4949	116.175	0.000076163444000
572	23.9165	116.478	0.000076163444000
541	23.2594	116.781	0.000076163444000
587	24.2281	117.085	0.000076163444000
572	23.9165	117.390	0.000076163444000
588	24.2487	117.696	0.000076163444000
622	24.9399	118.002	0.000076163444000
599	24.4745	118.310	0.000076163444000
596	24.4131	118.619	0.000076163444000
568	23.8328	118.928	0.000076163444000
595	24.3926	119.239	0.000076163444000
648	25.4558	119.550	0.000076163444000
578	24.0416	119.862	0.000076163444000
566	23.7908	120.175	0.000076163444000
565	23.7697	120.490	0.000076163444000
598	24.4540	120.805	0.000076163444000
598	24.4540	121.120	0.000076163444000
577	24.0208	121.437	0.000076163444000
590	24.2899	121.755	0.000076163444000
580	24.0832	122.073	0.000076163444000
586	24.2074	122.393	0.000076163444000
608	24.6577	122.713	0.000076163444000
590	24.2899	123.035	0.000076163444000
582	24.1247	123.357	0.000076163444000
554	23.5372	123.680	0.000076163444000
597	24.4336	124.004	0.000076163444000
576	24.0000	124.329	0.000076163444000
590	24.2899	124.655	0.000076163444000
597	24.4336	124.982	0.000076163444000
533	23.0868	125.309	0.000076163444000
592	24.3311	125.638	0.000076163444000
548	23.4094	125.968	0.000076163444000
560	23.6643	126.298	0.000076163444000
524	22.8910	126.629	0.000076163444000
515	22.6936	126.961	0.000076163444000
587	24.2281	127.295	0.000076163444000
577	24.0208	127.629	0.000076163444000
613	24.7588	127.964	0.000076163444000
570	23.8747	128.299	0.000076163444000
595	24.3926	128.636	0.000076163444000
552	23.4947	128.974	0.000076163444000
528	22.9783	129.312	0.000076163444000
563	23.7276	129.652	0.000076163444000
565	23.7697	129.992	0.000076163444000
534	23.1084	130.334	0.000076163444000
545	23.3452	130.676	0.000076163444000
590	24.2899	131.019	0.000076163444000
548	23.4094	131.363	0.000076163444000
586	24.2074	131.708	0.000076163444000
547	23.3880	132.054	0.000076163444000
567	23.8118	132.401	0.000076163444000
565	23.7697	132.748	0.000076163444000
563	23.7276	133.097	0.000076163444000
554	23.5372	133.446	0.000076163444000
543	23.3024	133.797	0.000076163444000
573	23.9374	134.148	0.000076163444000
541	23.2594	134.500	0.000076163444000
553	23.5160	134.853	0.000076163444000
528	22.9783	135.207	0.000076163444000
506	22.4944	135.562	0.000076163444000
572	23.9165	135.918	0.000076163444000
560	23.6643	136.275	0.000076163444000
547	23.3880	136.632	0.000076163444000
516	22.7156	136.991	0.000076163444000
516	22.7156	137.350	0.000076163444000
525	22.9129	137.711	0.000076163444000
557	23.6008	138.072	0.000076163444000
577	24.0208	138.434	0.000076163444000
518	22.7596	138.797	0.000076163444000
528	22.9783	139.161	0.000076163444000
502	22.4054	139.526	0.000076163444000
528	22.9783	139.892	0.000076163444000
546	23.3666	140.259	0.000076163444000
553	23.5160	140.626	0.000076163444000
520	22.8035	140.995	0.000076163444000
506	22.4944	141.364	0.000076163444000
542	23.2809	141.735	0.000076163444000
516	22.7156	142.106	0.000076163444000
518	22.7596	142.478	0.000076163444000
562	23.7065	142.851	0.000076163444000
570	23.8747	143.225	0.000076163444000
500	22.3607	143.600	0.000076163444000
526	22.9347	143.976	0.000076163444000
464	21.5407	144.353	0.000076163444000
502	22.4054	144.730	0.000076163444000
485	22.0227	145.109	0.000076163444000
489	22.1133	145.488	0.000076163444000
532	23.0651	145.869	0.000076163444000
498	22.3159	146.250	0.000076163444000
505	22.4722	146.632	0.000076163444000
538	23.1948	147.015	0.000076163444000
515	22.6936	147.399	0.000076163444000
499	22.3383	147.784	0.000076163444000
484	22.0000	148.170	0.000076163444000
498	22.3159	148.556	0.000076163444000
546	23.3666	148.944	0.000076163444000
518	22.7596	149.333	0.000076163444000
511	22.6053	149.722	0.000076163444000
514	22.6716	150.112	0.000076163444000
524	22.8910	150.504	0.000076163444000
535	23.1301	150.896	0.000076163444000
474	21.7715	151.289	0.000076163444000
489	22.1133	151.683	0.000076163444000
498	22.3159	152.078	0.000076163444000
468	21.6333	152.473	0.000076163444000
515	22.6936	152.870	0.000076163444000
486	22.0454	153.268	0.000076163444000
446	21.1187	153.666	0.000076163444000
498	22.3159	154.066	0.000076163444000
524	22.8910	154.466	0.000076163444000
506	22.4944	154.867	0.000076163444000
486	22.0454	155.269	0.000076163444000
497	22.2935	155.672	0.000076163444000
463	21.5174	156.076	0.000076163444000
513	22.6495	156.481	0.000076163444000
439	20.9523	156.887	0.000076163444000
