# Counts	Error	Energy (keV)	 ErrorEnergy
21	4.5826	25.167	0.000319334568000
0	0.0000	25.887	0.000319334568000
0	0.0000	26.607	0.000319334568000
0	0.0000	27.328	0.000319334568000
0	0.0000	28.049	0.000319334568000
0	0.0000	28.771	0.000319334568000
1	1.0000	29.494	0.000319334568000
0	0.0000	30.217	0.000319334568000
0	0.0000	30.941	0.000319334568000
0	0.0000	31.665	0.000319334568000
1	1.0000	32.390	0.000319334568000
0	0.0000	33.116	0.000319334568000
2	1.4142	33.842	0.000319334568000
1	1.0000	34.569	0.000319334568000
0	0.0000	35.297	0.000319334568000
1	1.0000	36.025	0.000319334568000
0	0.0000	36.754	0.000319334568000
0	0.0000	37.483	0.000319334568000
1	1.0000	38.213	0.000319334568000
0	0.0000	38.944	0.000319334568000
0	0.0000	39.675	0.000319334568000
0	0.0000	40.407	0.000319334568000
1	1.0000	41.140	0.000319334568000
1	1.0000	41.873	0.000319334568000
0	0.0000	42.607	0.000319334568000
1	1.0000	43.341	0.000319334568000
0	0.0000	44.076	0.000319334568000
0	0.0000	44.812	0.000319334568000
1	1.0000	45.548	0.000319334568000
0	0.0000	46.285	0.000319334568000
0	0.0000	47.022	0.000319334568000
0	0.0000	47.760	0.000319334568000
0	0.0000	48.499	0.000319334568000
0	0.0000	49.238	0.000319334568000
1	1.0000	49.978	0.000319334568000
0	0.0000	50.719	0.000319334568000
0	0.0000	51.460	0.000319334568000
0	0.0000	52.201	0.000319334568000
0	0.0000	52.944	0.000319334568000
0	0.0000	53.687	0.000319334568000
0	0.0000	54.431	0.000319334568000
0	0.0000	55.175	0.000319334568000
0	0.0000	55.920	0.000319334568000
0	0.0000	56.665	0.000319334568000
0	0.0000	57.411	0.000319334568000
0	0.0000	58.158	0.000319334568000
0	0.0000	58.905	0.000319334568000
0	0.0000	59.653	0.000319334568000
0	0.0000	60.402	0.000319334568000
0	0.0000	61.151	0.000319334568000
1	1.0000	61.901	0.000319334568000
0	0.0000	62.651	0.000319334568000
0	0.0000	63.402	0.000319334568000
0	0.0000	64.154	0.000319334568000
0	0.0000	64.906	0.000319334568000
0	0.0000	65.659	0.000319334568000
0	0.0000	66.413	0.000319334568000
0	0.0000	67.167	0.000319334568000
0	0.0000	67.922	0.000319334568000
0	0.0000	68.677	0.000319334568000
1	1.0000	69.433	0.000319334568000
2	1.4142	70.190	0.000319334568000
4	2.0000	70.947	0.000319334568000
10	3.1623	71.705	0.000319334568000
12	3.4641	72.463	0.000319334568000
16	4.0000	73.222	0.000319334568000
26	5.0990	73.982	0.000319334568000
50	7.0711	74.742	0.000319334568000
71	8.4261	75.503	0.000319334568000
103	10.1489	76.265	0.000319334568000
141	11.8743	77.027	0.000319334568000
212	14.5602	77.790	0.000319334568000
254	15.9374	78.553	0.000319334568000
293	17.1172	79.317	0.000319334568000
371	19.2614	80.082	0.000319334568000
458	21.4009	80.847	0.000319334568000
488	22.0907	81.613	0.000319334568000
585	24.1868	82.379	0.000319334568000
643	25.3574	83.147	0.000319334568000
741	27.2213	83.914	0.000319334568000
765	27.6586	84.683	0.000319334568000
840	28.9828	85.452	0.000319334568000
834	28.8791	86.221	0.000319334568000
874	29.5635	86.991	0.000319334568000
923	30.3809	87.762	0.000319334568000
902	30.0333	88.534	0.000319334568000
970	31.1448	89.306	0.000319334568000
950	30.8221	90.078	0.000319334568000
997	31.5753	90.852	0.000319334568000
1015	31.8591	91.626	0.000319334568000
943	30.7083	92.400	0.000319334568000
988	31.4325	93.175	0.000319334568000
991	31.4802	93.951	0.000319334568000
1007	31.7333	94.727	0.000319334568000
996	31.5595	95.504	0.000319334568000
930	30.4959	96.282	0.000319334568000
1036	32.1870	97.060	0.000319334568000
1025	32.0156	97.839	0.000319334568000
996	31.5595	98.619	0.000319334568000
978	31.2730	99.399	0.000319334568000
956	30.9192	100.179	0.000319334568000
1004	31.6860	100.961	0.000319334568000
973	31.1929	101.743	0.000319334568000
1030	32.0936	102.525	0.000319334568000
960	30.9839	103.308	0.000319334568000
983	31.3528	104.092	0.000319334568000
924	30.3974	104.877	0.000319334568000
944	30.7246	105.662	0.000319334568000
930	30.4959	106.447	0.000319334568000
950	30.8221	107.234	0.000319334568000
961	31.0000	108.021	0.000319334568000
910	30.1662	108.808	0.000319334568000
949	30.8058	109.596	0.000319334568000
929	30.4795	110.385	0.000319334568000
978	31.2730	111.174	0.000319334568000
939	30.6431	111.964	0.000319334568000
973	31.1929	112.755	0.000319334568000
921	30.3480	113.546	0.000319334568000
955	30.9031	114.338	0.000319334568000
1005	31.7017	115.130	0.000319334568000
944	30.7246	115.923	0.000319334568000
942	30.6920	116.717	0.000319334568000
939	30.6431	117.511	0.000319334568000
949	30.8058	118.306	0.000319334568000
959	30.9677	119.102	0.000319334568000
950	30.8221	119.898	0.000319334568000
967	31.0966	120.695	0.000319334568000
923	30.3809	121.492	0.000319334568000
921	30.3480	122.290	0.000319334568000
925	30.4138	123.089	0.000319334568000
918	30.2985	123.888	0.000319334568000
887	29.7825	124.688	0.000319334568000
987	31.4166	125.489	0.000319334568000
991	31.4802	126.290	0.000319334568000
945	30.7409	127.091	0.000319334568000
899	29.9833	127.894	0.000319334568000
931	30.5123	128.697	0.000319334568000
931	30.5123	129.500	0.000319334568000
912	30.1993	130.304	0.000319334568000
953	30.8707	131.109	0.000319334568000
894	29.8998	131.915	0.000319334568000
910	30.1662	132.721	0.000319334568000
877	29.6142	133.527	0.000319334568000
969	31.1288	134.335	0.000319334568000
913	30.2159	135.143	0.000319334568000
852	29.1890	135.951	0.000319334568000
877	29.6142	136.760	0.000319334568000
924	30.3974	137.570	0.000319334568000
853	29.2062	138.380	0.000319334568000
878	29.6311	139.191	0.000319334568000
882	29.6985	140.003	0.000319334568000
874	29.5635	140.815	0.000319334568000
849	29.1376	141.628	0.000319334568000
871	29.5127	142.442	0.000319334568000
863	29.3769	143.256	0.000319334568000
884	29.7321	144.070	0.000319334568000
832	28.8444	144.886	0.000319334568000
