# Net Counts	Error
21	4.5826
0	0.0000
0	0.0000
0	0.0000
0	0.0000
1	1.0000
6	2.4495
1	1.0000
2	1.4142
0	0.0000
4	2.0000
7	2.6458
2	1.4142
4	2.0000
0	0.0000
0	0.0000
0	0.0000
1	1.0000
1	1.0000
1	1.0000
2	1.4142
1	1.0000
0	0.0000
1	1.0000
0	0.0000
1	1.0000
1	1.0000
1	1.0000
1	1.0000
0	0.0000
0	0.0000
0	0.0000
2	1.4142
1	1.0000
0	0.0000
2	1.4142
0	0.0000
0	0.0000
0	0.0000
1	1.0000
2	1.4142
0	0.0000
1	1.0000
2	1.4142
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
1	1.0000
0	0.0000
0	0.0000
1	1.0000
3	1.7321
5	2.2361
5	2.2361
11	3.3166
10	3.1623
14	3.7417
17	4.1231
22	4.6904
27	5.1962
39	6.2450
54	7.3485
68	8.2462
88	9.3808
102	10.0995
127	11.2694
172	13.1149
173	13.1529
208	14.4222
250	15.8114
281	16.7631
309	17.5784
353	18.7883
373	19.3132
375	19.3649
412	20.2978
437	20.9045
465	21.5639
461	21.4709
437	20.9045
479	21.8861
493	22.2036
465	21.5639
477	21.8403
529	23.0000
494	22.2261
536	23.1517
476	21.8174
498	22.3159
529	23.0000
560	23.6643
516	22.7156
533	23.0868
536	23.1517
587	24.2281
517	22.7376
560	23.6643
541	23.2594
558	23.6220
529	23.0000
552	23.4947
585	24.1868
554	23.5372
569	23.8537
534	23.1084
594	24.3721
589	24.2693
615	24.7992
583	24.1454
622	24.9399
566	23.7908
568	23.8328
586	24.2074
600	24.4949
599	24.4745
570	23.8747
634	25.1794
594	24.3721
605	24.5967
632	25.1396
609	24.6779
632	25.1396
605	24.5967
595	24.3926
603	24.5561
577	24.0208
594	24.3721
587	24.2281
601	24.5153
614	24.7790
602	24.5357
572	23.9165
593	24.3516
626	25.0200
623	24.9600
615	24.7992
619	24.8797
622	24.9399
643	25.3574
591	24.3105
611	24.7184
650	25.4951
606	24.6171
616	24.8193
580	24.0832
654	25.5734
597	24.4336
591	24.3105
609	24.6779
570	23.8747
628	25.0599
619	24.8797
615	24.7992
588	24.2487
615	24.7992
609	24.6779
563	23.7276
576	24.0000
552	23.4947
584	24.1661
569	23.8537
580	24.0832
576	24.0000
586	24.2074
618	24.8596
649	25.4755
604	24.5764
600	24.4949
572	23.9165
541	23.2594
587	24.2281
572	23.9165
588	24.2487
622	24.9399
599	24.4745
596	24.4131
568	23.8328
595	24.3926
648	25.4558
578	24.0416
566	23.7908
565	23.7697
598	24.4540
598	24.4540
577	24.0208
590	24.2899
580	24.0832
586	24.2074
608	24.6577
590	24.2899
582	24.1247
554	23.5372
597	24.4336
576	24.0000
590	24.2899
597	24.4336
533	23.0868
592	24.3311
548	23.4094
560	23.6643
524	22.8910
515	22.6936
587	24.2281
577	24.0208
613	24.7588
570	23.8747
595	24.3926
552	23.4947
528	22.9783
563	23.7276
565	23.7697
534	23.1084
545	23.3452
590	24.2899
548	23.4094
586	24.2074
547	23.3880
567	23.8118
565	23.7697
