# Net Counts	Error
5	2.2361
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
1	1.0000
1	1.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
1	1.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
1	1.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
1	1.0000
0	0.0000
0	0.0000
2	1.4142
1	1.0000
2	1.4142
4	2.0000
6	2.4495
8	2.8284
16	4.0000
14	3.7417
35	5.9161
53	7.2801
52	7.2111
94	9.6954
116	10.7703
139	11.7898
138	11.7473
171	13.0767
229	15.1327
278	16.6733
320	17.8885
370	19.2354
431	20.7605
465	21.5639
450	21.2132
517	22.7376
491	22.1585
543	23.3024
559	23.6432
585	24.1868
568	23.8328
545	23.3452
532	23.0651
599	24.4745
562	23.7065
528	22.9783
511	22.6053
517	22.7376
513	22.6495
445	21.0950
479	21.8861
441	21.0000
471	21.7025
470	21.6795
433	20.8087
440	20.9762
422	20.5426
414	20.3470
393	19.8242
399	19.9750
414	20.3470
415	20.3715
408	20.1990
456	21.3542
412	20.2978
459	21.4243
454	21.3073
551	23.4734
657	25.6320
816	28.5657
1000	31.6228
1358	36.8511
1703	41.2674
2186	46.7547
2799	52.9056
3303	57.4717
3764	61.3514
4288	65.4828
4678	68.3959
4739	68.8404
4763	69.0145
4456	66.7533
4080	63.8749
3565	59.7076
3027	55.0182
2437	49.3660
1966	44.3396
1443	37.9868
1153	33.9559
845	29.0689
626	25.0200
516	22.7156
396	19.8997
370	19.2354
295	17.1756
305	17.4642
293	17.1172
256	16.0000
306	17.4929
279	16.7033
275	16.5831
310	17.6068
292	17.0880
280	16.7332
295	17.1756
312	17.6635
308	17.5499
298	17.2627
327	18.0831
308	17.5499
312	17.6635
310	17.6068
318	17.8326
327	18.0831
320	17.8885
362	19.0263
379	19.4679
390	19.7484
423	20.5670
422	20.5426
382	19.5448
423	20.5670
410	20.2485
425	20.6155
389	19.7231
393	19.8242
395	19.8746
370	19.2354
359	18.9473
348	18.6548
335	18.3030
331	18.1934
305	17.4642
317	17.8045
311	17.6352
288	16.9706
315	17.7482
297	17.2337
269	16.4012
282	16.7929
275	16.5831
282	16.7929
237	15.3948
295	17.1756
269	16.4012
265	16.2788
246	15.6844
257	16.0312
273	16.5227
257	16.0312
266	16.3095
245	15.6525
251	15.8430
266	16.3095
254	15.9374
281	16.7631
274	16.5529
271	16.4621
250	15.8114
256	16.0000
251	15.8430
271	16.4621
233	15.2643
259	16.0935
255	15.9687
250	15.8114
242	15.5563
226	15.0333
222	14.8997
229	15.1327
234	15.2971
235	15.3297
222	14.8997
239	15.4596
234	15.2971
204	14.2829
208	14.4222
213	14.5945
223	14.9332
220	14.8324
207	14.3875
216	14.6969
233	15.2643
207	14.3875
217	14.7309
208	14.4222
195	13.9642
213	14.5945
222	14.8997
180	13.4164
159	12.6095
